Speaker	Task	Label	TokNum	T	R	AAAmeta
BM	base	s	24	0.2581	65.4922	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	24	0.2184	65.0724	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	24	0.1787	64.5736	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	24	0.139	63.9365	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	24	0.0993	63.2253	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	24	0.0596	62.4326	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	24	0.0199	61.7757	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	24	-0.0199	61.2942	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	24	-0.0596	60.0866	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	24	-0.0993	58.8321	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	24	-0.139	57.2097	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	24	-0.1787	55.7848	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	24	-0.2184	54.3328	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	24	-0.2581	51.3275	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	24	-0.2978	49.1469	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	24	-0.3375	45.0057	Tongue s 5/24/2017 6:45:10 PM 24
BM	base	s	60	0.6154	67.8135	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	0.5757	67.7616	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	0.536	67.1986	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	0.4963	66.6356	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	0.4566	66.2701	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	0.4169	65.8824	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	0.3772	65.9367	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	0.3375	65.3638	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	0.2978	65.0502	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	0.2581	65.2181	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	0.2184	64.8798	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	0.1787	64.5736	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	0.139	64.2649	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	0.0993	63.7735	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	0.0596	63.4821	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	0.0199	63.1586	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	-0.0199	62.677	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	-0.0596	61.7683	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	-0.0993	60.7089	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	-0.139	59.2791	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	-0.1787	58.5061	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	-0.2184	56.8664	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	-0.2581	53.5203	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	60	-0.2978	49.9816	Tongue s 5/24/2017 6:48:23 PM 60
BM	base	s	69	0.6948	69.4458	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.6551	69.3149	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.6154	69.0383	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.5757	69.0581	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.536	68.6235	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.4963	68.1148	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.4566	67.4233	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.4169	66.9887	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.3772	66.5121	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.3375	66.7961	Tongue s 5/24/2017 6:49:10 PM 69
BM	base	s	69	0.2978	66.6479	Tongue s 5/24/2017 6:49:10 PM 69
